university_id,faculty_id,subject_name,room
1,1,グローバル課題探究,101大講義室
1,1,国際関係論概論,2号館204教室
1,1,アカデミック・イングリッシュⅠ,A棟102メディア教室
1,2,行動科学概論,3号館301ゼミ室
1,2,歴史学基礎演習,2号館204教室
1,3,憲法総論,101大講義室
1,3,ミクロ経済学基礎,B棟405大教室
1,4,解析学Ⅰ,理学部1号館
1,4,線形代数学演習,理学部1号館
1,5,プログラミング言語構造論,情報処理演習室1
1,5,データ構造とアルゴリズム,情報処理演習室1
1,5,Webバックエンド開発演習,情報処理演習室2
1,6,栽培システム学,園芸学部棟
1,,大学学びの基礎（フレッシュマンセミナー）,共通教育棟202
1,,情報リテラシー演習,情報処理演習室1
1,,現代の社会課題とSDGs,101大講義室
2,10,機械設計製図,CAD実習室
2,10,電気電子回路,工学部2号館
2,13,Pythonプログラミング,情報処理演習室1
2,13,データベースシステム論,情報処理演習室2
2,13,人工知能・ディープラーニング,先端科学研究棟
2,14,大規模データ処理,情報処理演習室1
2,14,ソフトウェアエンジニアリング,情報処理演習室2
2,,キャリア形成と社会進出,大講堂
3,15,Intensive English Reading,Language Lab 1
3,15,Academic Writing,Language Lab 2
3,15,スペイン語コミュニケーション,3号館201
4,16,武道指導法演習（剣道・柔道）,武道館
4,16,コンディショニング理論,体育館レクチャールーム
5,18,不動産鑑定評価論,4号館302
5,18,宅地建物取引業法,4号館302
6,20,Webシステムプログラミング,情報教室A
6,20,ゲームプログラミング演習,情報教室B
